Gen: 105. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 17
Gen: 106. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 18
Gen: 107. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 19
Gen: 108. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 20
Regenerating population
Gen: 109. Avg: 98, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 110. Avg: 125, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
Gen: 111. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 3
Gen: 112. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 4
Gen: 113. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 5
Gen: 114. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 6
Gen: 115. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 7
Gen: 116. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 8
Gen: 117. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 9
Gen: 118. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 10
Gen: 119. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 11
Gen: 120. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 12
Gen: 121. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 13
Gen: 122. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 14
Gen: 123. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 15
Gen: 124. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 16
Gen: 125. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 17
Gen: 126. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 18
Gen: 127. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 19
Gen: 128. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 20
Regenerating population
Gen: 129. Avg: 98, Gen Max: 116, Max: 128, Gen. Max Repeated: 1
Gen: 130. Avg: 124, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 131. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 1
Gen: 132. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 2
Gen: 133. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 3
Gen: 134. Avg: 128, Gen Max: 128, Max: 128, Gen. Max Repeated: 4
Gen: 135. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 5
Gen: 136. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 6
Gen: 137. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 7
Gen: 138. Avg: 127, Gen Max: 128, Max: 128, Gen. Max Repeated: 8
