Gen: 113. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 3
Gen: 114. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 4
Gen: 115. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 5
Gen: 116. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 6
Gen: 117. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 7
Gen: 118. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 119. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 120. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 121. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 122. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 123. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 124. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 125. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 126. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 127. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 128. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 129. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 130. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 131. Avg: 58, Gen Max: 78, Max: 100, Gen. Max Repeated: 1
Gen: 132. Avg: 81, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 133. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 134. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 2
Gen: 135. Avg: 98, Gen Max: 100, Max: 100, Gen. Max Repeated: 3
Gen: 136. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 4
Gen: 137. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 5
Gen: 138. Avg: 98, Gen Max: 100, Max: 100, Gen. Max Repeated: 6
Gen: 139. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 7
Gen: 140. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 141. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 142. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 143. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 144. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 145. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 146. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 147. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 148. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 149. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 150. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 151. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 152. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 153. Avg: 57, Gen Max: 71, Max: 100, Gen. Max Repeated: 1
Gen: 154. Avg: 78, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 155. Avg: 97, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 156. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 2
Gen: 157. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 3
Gen: 158. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 4
Gen: 159. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 5
Gen: 160. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 6
Gen: 161. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 7
Gen: 162. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 163. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 164. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 165. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 166. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 167. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 168. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 169. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 170. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 171. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 172. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 173. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 174. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 175. Avg: 57, Gen Max: 82, Max: 100, Gen. Max Repeated: 1
Gen: 176. Avg: 77, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 177. Avg: 95, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 178. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 2
Gen: 179. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 3
Gen: 180. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 4
Gen: 181. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 5
Gen: 182. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 6
