Generation: 172. Average fitness: 20 Max size: 27, Max repeated: 2
Generation: 173. Average fitness: 21 Max size: 27, Max repeated: 3
Generation: 174. Average fitness: 21 Max size: 27, Max repeated: 4
Generation: 175. Average fitness: 21 Max size: 27, Max repeated: 5
Generation: 176. Average fitness: 21 Max size: 27, Max repeated: 6
Generation: 177. Average fitness: 21 Max size: 27, Max repeated: 7
Generation: 178. Average fitness: 21 Max size: 27, Max repeated: 8
Generation: 179. Average fitness: 21 Max size: 27, Max repeated: 9
Generation: 180. Average fitness: 21 Max size: 27, Max repeated: 10
Generation: 181. Average fitness: 21 Max size: 27, Max repeated: 11
Generation: 182. Average fitness: 21 Max size: 27, Max repeated: 12
Generation: 183. Average fitness: 21 Max size: 27, Max repeated: 13
Generation: 184. Average fitness: 21 Max size: 27, Max repeated: 14
Generation: 185. Average fitness: 21 Max size: 27, Max repeated: 15
Generation: 186. Average fitness: 21 Max size: 27, Max repeated: 16
Generation: 187. Average fitness: 21 Max size: 27, Max repeated: 17
Generation: 188. Average fitness: 21 Max size: 27, Max repeated: 18
Generation: 189. Average fitness: 21 Max size: 27, Max repeated: 19
Regenerating population
Generation: 190. Average fitness: 20 Max size: 27, Max repeated: 0
Generation: 191. Average fitness: 20 Max size: 27, Max repeated: 1
Generation: 192. Average fitness: 20 Max size: 27, Max repeated: 2
Generation: 193. Average fitness: 21 Max size: 27, Max repeated: 3
Generation: 194. Average fitness: 21 Max size: 27, Max repeated: 4
Generation: 195. Average fitness: 21 Max size: 27, Max repeated: 5
Generation: 196. Average fitness: 21 Max size: 27, Max repeated: 6
Generation: 197. Average fitness: 21 Max size: 27, Max repeated: 7
Generation: 198. Average fitness: 21 Max size: 27, Max repeated: 8
Generation: 199. Average fitness: 21 Max size: 27, Max repeated: 9
Clique result for file: DIMACS_cliques/brock400_1.clq
Max clique size: 27
Vertices in max clique: 67 177 233 310 303 141 107 206 91 259 220 379 38 251 134 92 347 261 185 17 84 89 275 19 387 133 149 
