Gen: 77. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 78. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 79. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 80. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 81. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 82. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 83. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 84. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 85. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 86. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 87. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 88. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 89. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 90. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 91. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 92. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 93. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 94. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 95. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 96. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 97. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 98. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 99. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
