Gen: 253. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 254. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 255. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 256. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 257. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 258. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 259. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 260. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 261. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 262. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 263. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 264. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 265. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 266. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 267. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 268. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 269. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 270. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 271. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 272. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 273. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 274. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 275. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 276. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 277. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 278. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 279. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 280. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 281. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 282. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 283. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 284. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 285. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 286. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 287. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 288. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 289. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 290. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 291. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 292. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 293. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 294. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 295. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 296. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 297. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 298. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 299. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 300. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 301. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 302. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 303. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 304. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 305. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 306. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 307. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 308. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 309. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 310. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 311. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 312. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 313. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 314. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 315. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 316. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 317. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 318. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 319. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 320. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 321. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
