Gen: 219. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 220. Avg: 22, Gen Max: 25, Max: 27, Gen. Max Repeated: 1
Gen: 221. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 222. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 223. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 224. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 225. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 226. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 227. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 228. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 229. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 230. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 231. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 232. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 233. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 234. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 235. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 236. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 237. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 238. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 239. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 240. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 241. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 242. Avg: 22, Gen Max: 25, Max: 27, Gen. Max Repeated: 1
Gen: 243. Avg: 23, Gen Max: 25, Max: 27, Gen. Max Repeated: 1
Gen: 244. Avg: 23, Gen Max: 25, Max: 27, Gen. Max Repeated: 2
Gen: 245. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 3
Gen: 246. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 247. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 248. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 249. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 250. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 251. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 252. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 253. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 254. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 255. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 256. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 257. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 258. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 259. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 260. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 261. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 262. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 263. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 264. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 265. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 266. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 267. Avg: 22, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 268. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 269. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 270. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 271. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 272. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 273. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 274. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 275. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 276. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 277. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 278. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 279. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 280. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 281. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 282. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 283. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 284. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 285. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 286. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 287. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 288. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 289. Avg: 23, Gen Max: 25, Max: 27, Gen. Max Repeated: 1
Gen: 290. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 291. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 292. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 293. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 294. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 295. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 296. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 297. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 298. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 299. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 300. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 301. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 302. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 303. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 304. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 305. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 306. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 307. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 308. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 309. Avg: 27, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 310. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 311. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 312. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 2
Gen: 313. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 3
Gen: 314. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 4
Gen: 315. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 5
Gen: 316. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 317. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 318. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 319. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 320. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 321. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 322. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
